text,true_label,predicted_label,phishing_probability
You are invited to the research seminar on SOC workflows this Tuesday at 14:00. This message is for planning purposes only. No immediate action is needed.,legitimate,legitimate,0.0
The research repository requires one final identity check. Review the shared file and sign in to proceed.,phishing,phishing,0.56
"Your research cloud mailbox is over quota. Verify your account immediately at http://secure-portal-review.example-login.net/verify to keep access. This is urgent and action is required today. Dear user, click here to continue. For your safety, verify immediately.",phishing,phishing,0.99
The library has added new digital resources for Cybersecurity Analytics. Access them through the normal portal. The information is also available in the course workspace. No immediate action is needed.,legitimate,legitimate,0.01
"A new invoice is waiting for approval. Sign in at http://paypa1-security.example.net/confirm to review the document now. Your account may be locked. For your safety, verify immediately.",phishing,phishing,1.0
"Please review the payroll update form before 5 PM today and confirm your bank information at http://198.51.100.24/update. For your safety, verify immediately. Failure to comply may result in account suspension. Your account may be locked.",phishing,phishing,1.0
Dr. Pappas shared a document with you in the official workspace. Open it from the standard team portal. Use the official portal as usual.,legitimate,legitimate,0.0
Your university portal account requires verification today. Please confirm your login details at http://account-billing-check.example-auth.com/login to avoid interruption. This is urgent and action is required today. Your account may be locked. Do not ignore this final warning.,phishing,phishing,0.99
Your invoice #5118 has been processed. No action is required unless you have questions for finance. The information is also available in the course workspace.,legitimate,legitimate,0.0
"Hello team, the weekly meeting is scheduled for Tuesday at 16:00. Agenda and notes are attached. Contact the instructor if you have questions. Use the official portal as usual.",legitimate,legitimate,0.0
"Benefits enrollment closes today. Verify your employee information at http://secure-portal-review.example-login.net/verify to avoid losing access. This is urgent and action is required today. Dear user, click here to continue.",phishing,phishing,1.0
"A shared document has been quarantined. Review and release it using your credentials at http://198.51.100.24/update. For your safety, verify immediately. This is urgent and action is required today. Do not ignore this final warning.",phishing,phishing,0.99
Your travel reimbursement is pending. Confirm your employee portal details at http://paypa1-security.example.net/confirm today. Your account may be locked. Failure to comply may result in account suspension.,phishing,phishing,1.0
"A shared document has been quarantined. Review and release it using your credentials at http://198.51.100.24/update. Dear user, click here to continue. Failure to comply may result in account suspension.",phishing,phishing,1.0
"Your digital library access will be suspended unless you confirm your institutional credentials at http://198.51.100.24/update. Your account may be locked. Dear user, click here to continue. Do not ignore this final warning.",phishing,phishing,0.99
The library has added new digital resources for Digital Forensics. Access them through the normal portal. Use the official portal as usual.,legitimate,legitimate,0.0
