text,label
"The executive meeting schedule changed. Open the secure document at http://rb.gy/checkaccess and sign in to acknowledge receipt. For your safety, verify immediately.",phishing
The library has added new digital resources for Digital Forensics. Access them through the normal portal. Use the official portal as usual. No immediate action is needed.,legitimate
"Your campus VPN account requires verification today. Please confirm your login details at http://rb.gy/checkaccess to avoid interruption. Failure to comply may result in account suspension. For your safety, verify immediately.",phishing
Please review the payroll update form before 5 PM today and confirm your bank information at http://paypa1-security.example.net/confirm. This is urgent and action is required today. Your account may be locked.,phishing
The executive meeting schedule changed. Open the secure document at http://secure-portal-review.example-login.net/verify and sign in to acknowledge receipt. This is urgent and action is required today.,phishing
"A package could not be delivered. Confirm your delivery address and phone number at http://secure-portal-review.example-login.net/verify. Do not ignore this final warning. Dear user, click here to continue. Your account may be locked.",phishing
Your invoice #3110 has been processed. No action is required unless you have questions for finance. Use the official portal as usual.,legitimate
"Your network password expires within 4 hours. Reset it immediately using http://rb.gy/checkaccess. Dear user, click here to continue. Your account may be locked.",phishing
Your invoice #5779 has been processed. No action is required unless you have questions for finance. Use the official portal as usual.,legitimate
Research Office shared a document with you in the official workspace. Open it from the standard team portal. This message is for planning purposes only. Use the official portal as usual.,legitimate
"A new invoice is waiting for approval. Sign in at http://198.51.100.24/update to review the document now. Failure to comply may result in account suspension. This is urgent and action is required today. Dear user, click here to continue.",phishing
A package could not be delivered. Confirm your delivery address and phone number at http://rb.gy/checkaccess. This is urgent and action is required today.,phishing
Your university portal mailbox is over quota. Verify your account immediately at http://rb.gy/checkaccess to keep access. Do not ignore this final warning. This is urgent and action is required today.,phishing
"Your travel reimbursement is pending. Confirm your employee portal details at http://account-billing-check.example-auth.com/login today. Do not ignore this final warning. For your safety, verify immediately.",phishing
The lab timetable has changed. Please see the updated calendar on the class page. Contact the instructor if you have questions.,legitimate
You are invited to the research seminar on phishing defense this Monday at 12:00. The information is also available in the course workspace. No immediate action is needed.,legitimate
Reminder: the Cybersecurity Analytics lecture starts at 09:00 in room Seminar Room 2. Slides are posted on the learning portal. Contact the instructor if you have questions. No immediate action is needed.,legitimate
"A package could not be delivered. Confirm your delivery address and phone number at http://198.51.100.24/update. Dear user, click here to continue. Failure to comply may result in account suspension. Do not ignore this final warning.",phishing
"A shared document has been quarantined. Review and release it using your credentials at http://secure-portal-review.example-login.net/verify. Dear user, click here to continue. Do not ignore this final warning. Failure to comply may result in account suspension.",phishing
Your digital library access will be suspended unless you confirm your institutional credentials at http://secure-portal-review.example-login.net/verify. This is urgent and action is required today. Do not ignore this final warning.,phishing
Student services will extend office hours this week. Visit the help desk if you need support. The information is also available in the course workspace.,legitimate
A package could not be delivered. Confirm your delivery address and phone number at http://rb.gy/checkaccess. Do not ignore this final warning. Failure to comply may result in account suspension. Your account may be locked.,phishing
The lab timetable has changed. Please see the updated calendar on the class page. This message is for planning purposes only. Use the official portal as usual.,legitimate
"A new invoice is waiting for approval. Sign in at http://secure-portal-review.example-login.net/verify to review the document now. Failure to comply may result in account suspension. For your safety, verify immediately. Dear user, click here to continue.",phishing
Library Services shared a document with you in the official workspace. Open it from the standard team portal. The information is also available in the course workspace. Use the official portal as usual.,legitimate
IT Support shared a document with you in the official workspace. Open it from the standard team portal. No immediate action is needed.,legitimate
"A new invoice is waiting for approval. Sign in at http://secure-portal-review.example-login.net/verify to review the document now. For your safety, verify immediately. Dear user, click here to continue.",phishing
"We detected unusual activity on your research cloud account. Reset your password now at http://rb.gy/checkaccess. For your safety, verify immediately. Failure to comply may result in account suspension.",phishing
The IT team will perform routine maintenance on the research cloud system this Thursday. Expect a short service window. The information is also available in the course workspace.,legitimate
The IT team will perform routine maintenance on the research cloud system this Thursday. Expect a short service window. No immediate action is needed.,legitimate
The lab timetable has changed. Please see the updated calendar on the class page. Contact the instructor if you have questions.,legitimate
Student services will extend office hours this week. Visit the help desk if you need support. No immediate action is needed.,legitimate
The library has added new digital resources for Cybersecurity Analytics. Access them through the normal portal. Contact the instructor if you have questions. This message is for planning purposes only.,legitimate
Your HR portal mailbox is over quota. Verify your account immediately at http://secure-portal-review.example-login.net/verify to keep access. Your account may be locked. Do not ignore this final warning.,phishing
Dr. Pappas shared a document with you in the official workspace. Open it from the standard team portal. No immediate action is needed.,legitimate
"A new invoice is waiting for approval. Sign in at http://secure-portal-review.example-login.net/verify to review the document now. Failure to comply may result in account suspension. For your safety, verify immediately. Dear user, click here to continue.",phishing
Your digital library access will be suspended unless you confirm your institutional credentials at http://account-billing-check.example-auth.com/login. Your account may be locked.,phishing
The IT team will perform routine maintenance on the student records system system this Wednesday. Expect a short service window. This message is for planning purposes only.,legitimate
Your invoice #9743 has been processed. No action is required unless you have questions for finance. The information is also available in the course workspace. Use the official portal as usual.,legitimate
Reminder: the Secure Systems lecture starts at 09:00 in room A12. Slides are posted on the learning portal. This message is for planning purposes only.,legitimate
"Hello team, the weekly meeting is scheduled for Friday at 09:00. Agenda and notes are attached. No immediate action is needed.",legitimate
Dr. Pappas shared a document with you in the official workspace. Open it from the standard team portal. The information is also available in the course workspace.,legitimate
"Your travel reimbursement is pending. Confirm your employee portal details at http://secure-portal-review.example-login.net/verify today. This is urgent and action is required today. For your safety, verify immediately. Failure to comply may result in account suspension.",phishing
"Your digital library access will be suspended unless you confirm your institutional credentials at http://rb.gy/checkaccess. Your account may be locked. For your safety, verify immediately. This is urgent and action is required today.",phishing
"Hello team, the weekly meeting is scheduled for Thursday at 16:00. Agenda and notes are attached. Contact the instructor if you have questions.",legitimate
"Your student records system account requires verification today. Please confirm your login details at http://paypa1-security.example.net/confirm to avoid interruption. Do not ignore this final warning. For your safety, verify immediately. Dear user, click here to continue.",phishing
"The executive meeting schedule changed. Open the secure document at http://198.51.100.24/update and sign in to acknowledge receipt. Do not ignore this final warning. For your safety, verify immediately.",phishing
You are invited to the research seminar on transformer models this Thursday at 09:00. This message is for planning purposes only. Use the official portal as usual.,legitimate
Your university portal account requires verification today. Please confirm your login details at http://198.51.100.24/update to avoid interruption. This is urgent and action is required today. Your account may be locked.,phishing
Student services will extend office hours this week. Visit the help desk if you need support. The information is also available in the course workspace. No immediate action is needed.,legitimate
The lab timetable has changed. Please see the updated calendar on the class page. Contact the instructor if you have questions.,legitimate
"Hello team, the weekly meeting is scheduled for Thursday at 14:00. Agenda and notes are attached. Contact the instructor if you have questions.",legitimate
"Your digital library access will be suspended unless you confirm your institutional credentials at http://secure-portal-review.example-login.net/verify. Failure to comply may result in account suspension. For your safety, verify immediately. Dear user, click here to continue.",phishing
"The executive meeting schedule changed. Open the secure document at http://secure-portal-review.example-login.net/verify and sign in to acknowledge receipt. Dear user, click here to continue. This is urgent and action is required today.",phishing
"Your student records system mailbox is over quota. Verify your account immediately at http://paypa1-security.example.net/confirm to keep access. Dear user, click here to continue. Do not ignore this final warning.",phishing
Your travel request for Patras has been approved. Please keep receipts for reimbursement processing. Contact the instructor if you have questions.,legitimate
Your travel request for Athens has been approved. Please keep receipts for reimbursement processing. Contact the instructor if you have questions.,legitimate
The IT team will perform routine maintenance on the campus VPN system this Monday. Expect a short service window. Contact the instructor if you have questions. No immediate action is needed.,legitimate
"A package could not be delivered. Confirm your delivery address and phone number at http://secure-portal-review.example-login.net/verify. Your account may be locked. Dear user, click here to continue.",phishing
