text,label
You are invited to the research seminar on SOC workflows this Tuesday at 14:00. This message is for planning purposes only. No immediate action is needed.,legitimate
The research repository requires one final identity check. Review the shared file and sign in to proceed.,phishing
"Your research cloud mailbox is over quota. Verify your account immediately at http://secure-portal-review.example-login.net/verify to keep access. This is urgent and action is required today. Dear user, click here to continue. For your safety, verify immediately.",phishing
The library has added new digital resources for Cybersecurity Analytics. Access them through the normal portal. The information is also available in the course workspace. No immediate action is needed.,legitimate
"A new invoice is waiting for approval. Sign in at http://paypa1-security.example.net/confirm to review the document now. Your account may be locked. For your safety, verify immediately.",phishing
"Please review the payroll update form before 5 PM today and confirm your bank information at http://198.51.100.24/update. For your safety, verify immediately. Failure to comply may result in account suspension. Your account may be locked.",phishing
Dr. Pappas shared a document with you in the official workspace. Open it from the standard team portal. Use the official portal as usual.,legitimate
Your university portal account requires verification today. Please confirm your login details at http://account-billing-check.example-auth.com/login to avoid interruption. This is urgent and action is required today. Your account may be locked. Do not ignore this final warning.,phishing
Your invoice #5118 has been processed. No action is required unless you have questions for finance. The information is also available in the course workspace.,legitimate
"Hello team, the weekly meeting is scheduled for Tuesday at 16:00. Agenda and notes are attached. Contact the instructor if you have questions. Use the official portal as usual.",legitimate
"Benefits enrollment closes today. Verify your employee information at http://secure-portal-review.example-login.net/verify to avoid losing access. This is urgent and action is required today. Dear user, click here to continue.",phishing
"A shared document has been quarantined. Review and release it using your credentials at http://198.51.100.24/update. For your safety, verify immediately. This is urgent and action is required today. Do not ignore this final warning.",phishing
Your travel reimbursement is pending. Confirm your employee portal details at http://paypa1-security.example.net/confirm today. Your account may be locked. Failure to comply may result in account suspension.,phishing
"A shared document has been quarantined. Review and release it using your credentials at http://198.51.100.24/update. Dear user, click here to continue. Failure to comply may result in account suspension.",phishing
"Your digital library access will be suspended unless you confirm your institutional credentials at http://198.51.100.24/update. Your account may be locked. Dear user, click here to continue. Do not ignore this final warning.",phishing
The library has added new digital resources for Digital Forensics. Access them through the normal portal. Use the official portal as usual.,legitimate
"Your travel reimbursement is pending. Confirm your employee portal details at http://account-billing-check.example-auth.com/login today. Do not ignore this final warning. For your safety, verify immediately.",phishing
"A shared document has been quarantined. Review and release it using your credentials at http://198.51.100.24/update. For your safety, verify immediately. Your account may be locked. Dear user, click here to continue.",phishing
"A shared document has been quarantined. Review and release it using your credentials at http://account-billing-check.example-auth.com/login. For your safety, verify immediately. Do not ignore this final warning. Your account may be locked.",phishing
"Benefits enrollment closes today. Verify your employee information at http://198.51.100.24/update to avoid losing access. Dear user, click here to continue.",phishing
The library has added new digital resources for Secure Systems. Access them through the normal portal. Use the official portal as usual.,legitimate
The IT team will perform routine maintenance on the student records system system this Friday. Expect a short service window. This message is for planning purposes only. Contact the instructor if you have questions.,legitimate
Your travel request for Heraklion has been approved. Please keep receipts for reimbursement processing. No immediate action is needed.,legitimate
The library has added new digital resources for Machine Learning. Access them through the normal portal. Contact the instructor if you have questions.,legitimate
