text,label
We detected unusual activity on your campus VPN account. Reset your password now at http://account-billing-check.example-auth.com/login. Failure to comply may result in account suspension. Do not ignore this final warning. Your account may be locked.,phishing
Reminder: the Secure Systems lecture starts at 10:30 in room Lab-3. Slides are posted on the learning portal. Contact the instructor if you have questions. The information is also available in the course workspace.,legitimate
We detected unusual activity on your university portal account. Reset your password now at http://rb.gy/checkaccess. Failure to comply may result in account suspension. Do not ignore this final warning. Your account may be locked.,phishing
You are invited to the research seminar on privacy engineering this Wednesday at 14:00. The information is also available in the course workspace.,legitimate
The library has added new digital resources for Applied AI. Access them through the normal portal. This message is for planning purposes only.,legitimate
The IT team will perform routine maintenance on the HR portal system this Friday. Expect a short service window. This message is for planning purposes only.,legitimate
"Benefits enrollment closes today. Verify your employee information at http://secure-portal-review.example-login.net/verify to avoid losing access. Dear user, click here to continue. Do not ignore this final warning. Your account may be locked.",phishing
Your travel reimbursement is pending. Confirm your employee portal details at http://198.51.100.24/update today. This is urgent and action is required today.,phishing
The library has added new digital resources for Applied AI. Access them through the normal portal. This message is for planning purposes only. No immediate action is needed.,legitimate
"A package could not be delivered. Confirm your delivery address and phone number at http://198.51.100.24/update. Dear user, click here to continue.",phishing
Your mailbox account requires verification today. Please confirm your login details at http://account-billing-check.example-auth.com/login to avoid interruption. Do not ignore this final warning. Your account may be locked.,phishing
"Your digital library access will be suspended unless you confirm your institutional credentials at http://198.51.100.24/update. Your account may be locked. Dear user, click here to continue.",phishing
A package could not be delivered. Confirm your delivery address and phone number at http://secure-portal-review.example-login.net/verify. Failure to comply may result in account suspension. This is urgent and action is required today. Do not ignore this final warning.,phishing
Your travel request for Patras has been approved. Please keep receipts for reimbursement processing. The information is also available in the course workspace. This message is for planning purposes only.,legitimate
"A shared document has been quarantined. Review and release it using your credentials at http://198.51.100.24/update. Failure to comply may result in account suspension. For your safety, verify immediately. Do not ignore this final warning.",phishing
"Your travel reimbursement is pending. Confirm your employee portal details at http://secure-portal-review.example-login.net/verify today. For your safety, verify immediately. Your account may be locked.",phishing
Research Office shared a document with you in the official workspace. Open it from the standard team portal. No immediate action is needed. Use the official portal as usual.,legitimate
IT Support shared a document with you in the official workspace. Open it from the standard team portal. The information is also available in the course workspace.,legitimate
"The executive meeting schedule changed. Open the secure document at http://paypa1-security.example.net/confirm and sign in to acknowledge receipt. Do not ignore this final warning. Dear user, click here to continue.",phishing
