text,true_label,predicted_label,phishing_probability
"Hello, here is the updated document we mentioned after class. Please sign in to view it at https://workspace-docs-access.example.com/open.",phishing,legitimate,0.15378158756277888
Good afternoon. The portal migration is nearly complete. Please re-enter your institutional credentials at http://203.0.113.10/portal so your account remains synced.,phishing,legitimate,0.0954768273822169
The reimbursement spreadsheet is ready. Open the secure link and confirm your staff details before processing can continue.,phishing,legitimate,0.2731423517488649
The research repository requires one final identity check. Review the shared file and sign in to proceed.,phishing,legitimate,0.17923415960322142
We noticed an authentication mismatch in your mailbox. Use the validation page below to prevent service disruption.,phishing,legitimate,0.0060804101548943
"Hello, here is the updated document we mentioned after class. It is also available through the normal course workspace.",legitimate,legitimate,0.0036219586171832973
The portal migration is nearly complete. Accounts will remain available during the change window.,legitimate,legitimate,0.004033557953142477
The reimbursement spreadsheet is ready. Finance will contact you if any details are missing.,legitimate,legitimate,0.00348677448439172
The research repository maintenance window starts tonight. No user action is required.,legitimate,legitimate,0.004076422923807072
We noticed a synchronization delay in the mailbox archive. The issue is being handled by IT.,legitimate,legitimate,0.0026738705602841178
